year,region,species_code,species,id,mu_hl,tot_hl
2019,ebs,10285,Alaska plaice,s100,34.73333333,521
2019,ebs,21720,Pacific cod,s100,38.4,768
2019,ebs,10130,flathead sole,s100,34.06849315,2487
2018,ebs,10261,northern rock sole,s100,49.99009901,5049
2018,ebs,10210,yellowfin sole,s100,49.54966887,7482
2018,ebs,21740,walleye pollock,s100,65.57429719,16328
2018,ebs,21720,Pacific cod,s100,48.15789474,915
2017,ebs,21740,walleye pollock,s100,59.89068826,14793
2017,ebs,21720,Pacific cod,s100,36.71428571,771
2017,ebs,10110,arrowtooth flounder,s100,41.08571429,1438
2017,ebs,10210,yellowfin sole,s100,45.46969697,6002
2017,ebs,10130,flathead sole,s100,44.22368421,3361
2017,ebs,10261,northern rock sole,s100,47.51724138,4134
2017,ebs,10285,Alaska plaice,s100,31.38888889,565
2018,ebs,10110,arrowtooth flounder,s100,43.13559322,2545
2018,ebs,10285,Alaska plaice,s100,35.79310345,1038
2018,ebs,10130,flathead sole,s100,51.35483871,4776
2019,ebs,10110,arrowtooth flounder,s100,45.04166667,2162
2019,ebs,21740,walleye pollock,s100,56.23744292,12316
2019,ebs,10112,Kamchatka flounder,s100,27,27
2019,ebs,10210,yellowfin sole,s125,38.94805195,2999
2019,ebs,10261,northern rock sole,s125,45.18,2259
2019,ebs,10285,Alaska plaice,s125,64,256
2019,ebs,21720,Pacific cod,s125,35.18181818,387
2019,ebs,10130,flathead sole,s125,31.69444444,1141
2018,ebs,10261,northern rock sole,s125,47.6984127,3005
2018,ebs,10210,yellowfin sole,s125,47.56989247,4424
2018,ebs,21740,walleye pollock,s125,56.56020942,10803
2018,ebs,21720,Pacific cod,s125,37.28571429,522
2017,ebs,21740,walleye pollock,s125,49.62566845,9280
2017,ebs,21720,Pacific cod,s125,41.55555556,374
2017,ebs,10110,arrowtooth flounder,s125,53,848
2017,ebs,10210,yellowfin sole,s125,40.77777778,3303
2017,ebs,10130,flathead sole,s125,39.76086957,1829
2017,ebs,10261,northern rock sole,s125,44.51923077,2315
2017,ebs,10285,Alaska plaice,s125,26.5,265
2018,ebs,10110,arrowtooth flounder,s125,45.03125,1441
2018,ebs,10130,flathead sole,s125,44.98412698,2834
2018,ebs,10285,Alaska plaice,s125,40.76923077,530
2019,ebs,10110,arrowtooth flounder,s125,36.78125,1177
2019,ebs,21740,walleye pollock,s125,44.02380952,7396
2019,ebs,10112,Kamchatka flounder,s125,2,2
2019,ebs,10210,yellowfin sole,s150,29.22916667,1403
2019,ebs,10261,northern rock sole,s150,47.19230769,1227
2019,ebs,10285,Alaska plaice,s150,39,156
2018,ebs,10210,yellowfin sole,s150,44,2552
2017,ebs,21740,walleye pollock,s150,41.96825397,5288
2017,ebs,21720,Pacific cod,s150,42.8,214
2017,ebs,10110,arrowtooth flounder,s150,51.4,514
2017,ebs,10210,yellowfin sole,s150,45.0952381,1894
2017,ebs,10130,flathead sole,s150,31.25,875
2017,ebs,10261,northern rock sole,s150,38.21875,1223
2018,ebs,21740,walleye pollock,s150,47.95714286,6714
2018,ebs,10261,northern rock sole,s150,44.48717949,1735
2018,ebs,10110,arrowtooth flounder,s150,50.52941176,859
2018,ebs,10130,flathead sole,s150,48.61764706,1653
2017,ebs,10285,Alaska plaice,s150,24,96
2018,ebs,10285,Alaska plaice,s150,52.66666667,316
2018,ebs,21720,Pacific cod,s150,38.14285714,267
2019,ebs,10110,arrowtooth flounder,s150,24.31818182,535
2019,ebs,21740,walleye pollock,s150,40.13,4013
2019,ebs,10130,flathead sole,s150,31.75,508
2019,ebs,21720,Pacific cod,s150,35.4,177
2019,ebs,10261,northern rock sole,s175,45.5,728
2019,ebs,10285,Alaska plaice,s175,23.66666667,71
2019,ebs,10210,yellowfin sole,s175,33.05263158,628
2017,ebs,21740,walleye pollock,s175,37.56756757,2780
2017,ebs,21720,Pacific cod,s175,45,135
2017,ebs,10110,arrowtooth flounder,s175,68,340
2017,ebs,10261,northern rock sole,s175,46.93333333,704
2017,ebs,10130,flathead sole,s175,33.81818182,372
2018,ebs,21740,walleye pollock,s175,44.92941176,3819
2018,ebs,10110,arrowtooth flounder,s175,60.88888889,548
2018,ebs,10210,yellowfin sole,s175,42.12121212,1390
2017,ebs,10210,yellowfin sole,s175,40.53846154,1054
2018,ebs,10261,northern rock sole,s175,42.90909091,944
2018,ebs,10285,Alaska plaice,s175,48.25,193
2018,ebs,10130,flathead sole,s175,56.76470588,965
2018,ebs,21720,Pacific cod,s175,32.75,131
2017,ebs,10285,Alaska plaice,s175,19.5,39
2019,ebs,10110,arrowtooth flounder,s175,24.5,196
2019,ebs,21740,walleye pollock,s175,34.11666667,2047
2019,ebs,10130,flathead sole,s175,28.875,231
2019,ebs,21720,Pacific cod,s175,32,96
