year,species_code,age,males,females,unsexed
2019,10112,4,5419577.030952381,5340357.875793651,0
2019,10112,5,7973459.91547619,7486244.699603175,0
2019,10112,6,4993290.364285714,5562834.849206349,0
2019,10112,7,2737728.85,3978958.998809524,0
2019,10112,8,2541353.8333333335,2819834.3722222224,0
2019,10112,9,554933.5416666666,1740786.182142857,0
2019,10112,10,1736832.15,3042516.4285714286,0
2019,10112,11,111375,102539.8,0
2019,10112,12,360989.35000000003,582749.8333333333,0
2019,10112,13,412241.6666666666,635040.5833333333,0
2019,10112,14,0,336984.3333333333,0
2019,10112,15,443041.6666666666,266018,0
2019,10112,16,259327,243502.66666666666,0
2019,10112,17,406650,227897.75,0
2019,10112,18,0,458373,0
2019,10112,21,0,18247,0
2019,10112,22,0,0,0
2019,10115,5,0,13753.5,0
2019,10115,6,121456,122544.5,0
2019,10115,7,356677.25,300567.6666666667,0
2019,10115,8,115043.33333333333,214569.83333333334,0
2019,10115,9,45910,816844.0416666666,0
2019,10115,10,37243.08333333333,551166.6666666666,0
2019,10115,11,65352,1203149.625,0
2019,10115,12,30245,297082.8333333333,0
2019,10115,13,0,50806.33333333333,0
2019,10115,14,16059,0,0
2019,10115,16,0,31832,0
2019,10115,18,0,0,0
2019,10115,19,0,28627,0
2019,10115,25,50982.33333333333,0,0
2019,10130,2,13127598.777777776,7440432.166666666,14682180.47593583
2019,10130,3,114527694.64167996,58384195.51731601,41815213.50684778
2019,10130,4,204448768.36167163,226409186.78486758,25712356.412120435
2019,10130,5,132872701.77716176,116130958.72392787,2536349.3458333407
2019,10130,6,115424123.77026843,77908631.32247116,1718310.6940027678
2019,10130,7,105428509.42363138,94384727.75009125,1562073.0934317915
2019,10130,8,114357646.04436967,118700467.4310882,1579124.309579018
2019,10130,9,34091814.8452012,52646633.6428875,531034.568158736
2019,10130,10,29314805.139267016,49123629.12863248,544962.8139531267
2019,10130,11,25483642.595419142,38411581.880555555,521391.44172379834
2019,10130,12,25123606.47994079,41377301.21038961,594237.282720483
2019,10130,13,24075353.306530252,17610728.725407925,383482.08776918385
2019,10130,14,23956926.175423086,25534091.036147185,362719.14711422694
2019,10130,15,19936179.242124543,40204526.73010878,598052.6612535508
2019,10130,16,17080519.100273672,20208998.30798368,379252.121743167
2019,10130,17,19790652.925274726,16903145.535653234,235152.62850877192
2019,10130,18,6303294.336842106,6604667.116605616,119064.85643377091
2019,10130,19,1456236.5555555555,9151552.604700854,112811.69674688057
2019,10130,20,5805050.285714285,3485117.222222222,86725.74930555555
2019,10130,21,5403446.155555556,1367470.076923077,95599.99858101134
2019,10130,22,1894958,2824365,171840.40833333333
2019,10130,23,1456236.5555555555,0,14969.215686274509
2019,10130,24,4123252.885714286,1414661.090909091,36852.135416666664
2019,10130,25,1923548.2857142857,3965210.9944444443,35775.723800505046
2019,10130,26,3503983.333333333,0,13321.625
2019,10210,2,0,1552602.6666666665,0
2019,10210,3,135692254.4909091,123056074,0
2019,10210,4,250775475.57389277,208167249.10555556,0
2019,10210,5,232536565.37326172,307029569.1008547,0
2019,10210,6,102513861.37068342,156043570.4675379,0
2019,10210,7,270118866.73680806,240611105.16718996,0
2019,10210,8,108739627.28441763,79228425.02074303,0
2019,10210,9,147756575.88882768,210474813.0804723,0
2019,10210,10,487735968.7136797,546276605.977489,0
2019,10210,11,269416278.0220091,358727231.43265146,0
2019,10210,12,129430737.60843652,129723183.10545112,0
2019,10210,13,154446174.41648605,160104486.9882451,0
2019,10210,14,83805612.03970589,125373729.70334168,0
2019,10210,15,67887318.97352941,123032405.51239373,0
2019,10210,16,56904601.508578435,71933954.02365288,0
2019,10210,17,94052622.59558824,43521526.20714286,0
2019,10210,18,38257902.90196078,70670996.28615288,0
2019,10210,19,35534617.76470588,38920028.06230158,0
2019,10210,20,51318675.669117644,79597292.39880952,0
2019,10210,21,96230846.43259804,38958579.23258145,0
2019,10210,22,5423410.029411765,22736787.3015873,0
2019,10210,23,33430758.779411763,38723898.28477443,0
2019,10210,24,27867326.292892158,17968979.00297619,0
2019,10210,25,6713982.625,39221140.50079365,0
2019,10210,26,0,26387021.033531744,0
2019,10210,27,7322070.196078431,20534940.236111112,0
2019,10210,28,27114996.272058822,12453712.663690476,0
2019,10210,29,5423410.029411765,9404284.743055556,0
2019,10210,30,17188264.784313727,21776981.635714285,0
2019,10210,31,10612870.647058824,2483378.6875,0
2019,10210,32,2054660.6666666665,19785754.371031746,0
2019,10210,37,3356991.3125,0,0
2019,10261,1,0,0,608036
2019,10261,2,196017686.64285713,178280957.19642857,154356652.6000049
2019,10261,3,858876621.7874459,597922890.8591269,207832510.45464152
2019,10261,4,572865864.5575757,632912455.2797619,70539908.81823124
2019,10261,5,365776010.8848485,296762226.5607864,24602361.91201639
2019,10261,6,53814784.89393939,50787304.51803751,3882666.203896104
2019,10261,7,94030178.18181819,95668621.35642137,4150419.7523854757
2019,10261,8,53213720.502272725,50158414.134199135,2402275.1127385
2019,10261,9,10410572.333333332,21899184.242424242,794940.4406926407
2019,10261,10,23364501.28787879,10716358.476190476,585453.770743034
2019,10261,11,21642405.727272727,31090374.90909091,667995.5010489511
2019,10261,12,15568145.6,8983874.92063492,526684.8395721925
2019,10261,13,33123406.73787879,34398746,1094051.431794663
2019,10261,14,63110415.263636366,91156945.05050504,1972056.4264277003
2019,10261,15,38961377.159090914,142944845.63636363,2580292.121574401
