sim,year,species_code,ess,value
2,2019,21740,ess_t,1929.5455674595619
2,2021,10130,ess_t,444.092764135774
2,2021,10210,ess_t,535.1866371373844
2,2021,10261,ess_t,897.1332155449061
2,2021,21740,ess_t,3167.3073100537035
3,2017,10110,ess_f,243.16994350298395
3,2017,10112,ess_f,96.01518042380039
3,2017,10115,ess_f,47.59069826931167
3,2017,10130,ess_f,368.5652860642503
3,2017,10210,ess_f,610.1248642334441
3,2017,10261,ess_f,130.1867514720405
3,2017,10285,ess_f,518.4448331458644
3,2017,21720,ess_f,250.48965956036372
3,2017,21740,ess_f,194.9334552240894
3,2018,10110,ess_f,542.1097391852968
3,2018,10112,ess_f,297.6119887493824
3,2018,10115,ess_f,38.82536404403538
3,2018,10130,ess_f,837.8406584162096
3,2018,10210,ess_f,315.75038155889735
3,2018,10261,ess_f,231.15828647563617
3,2018,10285,ess_f,143.02664492284092
3,2018,21720,ess_f,424.2476415683639
3,2018,21740,ess_f,181.2430641645083
3,2019,10110,ess_f,83.98756496439469
3,2019,10112,ess_f,559.7327923127525
3,2019,10115,ess_f,9.778932825872666
3,2019,10130,ess_f,265.03941171540856
3,2019,10210,ess_f,540.7846759958331
3,2019,10261,ess_f,178.45219202415706
3,2019,10285,ess_f,374.8743809270415
3,2019,21720,ess_f,13.845365218792018
3,2019,21740,ess_f,212.2864485728923
3,2021,10130,ess_f,192.108606167316
3,2021,10210,ess_f,369.7377602650022
3,2021,10261,ess_f,216.38111034179943
3,2021,21740,ess_f,95.55847391200899
3,2017,10110,ess_m,55.299066776844185
3,2017,10112,ess_m,158.6391252904911
3,2017,10115,ess_m,49.240992105033115
3,2017,10130,ess_m,113.99117473778504
3,2017,10210,ess_m,375.7349603512768
3,2017,10261,ess_m,156.07052982491948
3,2017,10285,ess_m,131.24748782226064
3,2017,21720,ess_m,322.38818748403617
3,2017,21740,ess_m,236.3852491020372
3,2018,10110,ess_m,137.96364559154975
3,2018,10112,ess_m,439.2091763842035
3,2018,10115,ess_m,18.604885785571053
3,2018,10130,ess_m,453.9084589593209
3,2018,10210,ess_m,152.26338530253963
3,2018,10261,ess_m,120.34745510355407
3,2018,10285,ess_m,39.33220119189787
3,2018,21720,ess_m,370.19227005708416
3,2018,21740,ess_m,268.5609343666395
3,2019,10110,ess_m,69.8002005832474
3,2019,10112,ess_m,164.11295446138337
3,2019,10115,ess_m,17.67631928942515
3,2019,10130,ess_m,539.9612291068648
3,2019,10210,ess_m,319.7623442929284
3,2019,10261,ess_m,258.23007880404043
3,2019,10285,ess_m,62.88880769118596
3,2019,21720,ess_m,12.249052889716415
3,2019,21740,ess_m,166.7530759278761
3,2021,10130,ess_m,194.6266810743824
3,2021,10210,ess_m,531.281048200278
3,2021,10261,ess_m,333.15772481041
3,2021,21740,ess_m,284.7823606079689
3,2017,10110,ess_t,200.52368271821882
3,2017,10112,ess_t,140.66294867936102
3,2017,10115,ess_t,104.61970978901135
3,2017,10130,ess_t,437.2204231072942
3,2017,10210,ess_t,933.0411566006533
3,2017,10261,ess_t,404.6506079534296
3,2017,10285,ess_t,515.1181228955434
